arquivo;slug_local;titulo_local;curso_id_atual;confianca;id_crm_sugerido;id_crm_confirmado;candidato_1_nome;candidato_1_id_crm;candidato_1_slug;candidato_1_score;candidato_2_nome;candidato_2_id_crm;candidato_2_slug;candidato_2_score;candidato_3_nome;candidato_3_id_crm;candidato_3_slug;candidato_3_score
produtos\extensao-alta-performance-comercial-persuasao-negociacao-vendas.md;extensao-alta-performance-comercial-persuasao-negociacao-vendas;Curso de Extensão Universitária: Alta Performance Comercial — Persuasão, Negociação e Gestão de Vendas;1471;baixa - buscar manualmente;1471;1471;MBA em Gestão Comercial, Negociação e Inteligência de Mercado;633;gestao-comercial-negociacao-e-inteligencia-de-mercado-mba-presencial;0.479;MBA Gestão Comercial e Alta Performance em Vendas;1302;gestao-comercial-e-alta-perfomance-em-vendas-mba-remoto;0.464;RH Performance : Pessoas, Desempenho e Resultados;715;rh-performance-pessoas-desempenho-e-resultados-curso-remoto-de-curta-duracao;0.437
produtos\extensao-analista-financeiro-performance-empresarial.md;extensao-analista-financeiro-performance-empresarial;Curso de Extensão Universitária: Analista Financeiro e Performance Empresarial;1427;baixa - buscar manualmente;1427;1427;Analista Financeiro Empresarial;396;analista-financeiro-empresarial-curso-presencial-de-curta-duracao;0.569;Analista Financeiro Empresarial;396;analista-financeiro-empresarial-curso-remoto-de-curta-duracao;0.569;Planejamento Financeiro Empresarial;610;planejamento-financeiro-empresarial-curso-presencial-de-curta-duracao;0.478
produtos\extensao-avaliacao-psicologica-procedimentos-cirurgicos.md;extensao-avaliacao-psicologica-procedimentos-cirurgicos;Curso de Extensão Universitária: Avaliação Psicológica Pré-Cirúrgica (com Integração de IA);1211;baixa - buscar manualmente;1211;1211;Avaliação Psicológica para Procedimentos Cirúrgicos- Nível Avançado;1086;curso-de-curta-duracao-em-avaliacao-psicologica-para-procedimentos-cirurgicos-nivel-avancado;0.481;Avaliação Psicológica para Manuseio de Arma de Fogo;898;avaliacao-psicologica-para-manuseio-de-arma-de-fogo-curso-remoto-de-curta-duracao;0.479;Curso de Curta Duração em LGPD - Privacidade e Proteção de Dados na Prática;1023;lgpd-privacidade-protecao-de-dados-na-pratica-curso-remoto-de-curta-duracao;0.458
produtos\extensao-capacitacao-aplicadores-aba.md;extensao-capacitacao-aplicadores-aba;Curso de Extensão Universitária EaD — Capacitação para Aplicadores ABA;1384;baixa - buscar manualmente;1384;1384;Curso de Curta Duração em Balística Forense;334;balistica-forense-curso-remoto-de-curta-duracao;0.496;Gestão de facilities: manutenção, sustentabilidade, espaços e propriedades;659;gestao-de-facilities-manutencao-sustentabilidade-espacos-e-propriedades-mba-presencial;0.472;Práticas de Construção Enxuta (Lean Construction) para Produção Otimizada de Obras;994;praticas-de-construcao-enxuta-lean-construction-para-producao-otimizada-de-obras-curso-remoto-de-curta-duracao;0.461
produtos\extensao-certificacao-talent-acquisition-recrutamento-estrategico.md;extensao-certificacao-talent-acquisition-recrutamento-estrategico;Curso de Extensão Universitária: Certificação em Talent Acquisition — Recrutamento Estratégico com Tecnologia e People Analytics;1526;baixa - buscar manualmente;1526;1526;Criação e Gestão de Negócios com Tecnologias Emergentes;576;criacao-e-gestao-de-negocios-com-tecnologias-emergentes-mba-presencial;0.437;Personal Organizer - Planejamento estratégico, Precificação, Técnicas de Vendas;592;personal-organizer-planejamento-estrategico-precificacao-tecnicas-de-vendas-curso-presencial-de-curta-duracao;0.435;Administração e Dimensionamento de Estoques - Como Gerenciar Estoques e Obter Melhores Ganhos;717;administracao-e-dimensionamento-de-estoques-como-gerenciar-estoques-e-obter-melhores-ganhos-curso-presencial-de-curta-duracao;0.425
produtos\extensao-cultura-feedback.md;extensao-cultura-feedback;Curso de Extensão Universitária: Como Criar uma Cultura de Feedback;1362;baixa - buscar manualmente;1362;1362;Saúde Estética e Cosmetologia Avançada;528;saude-estetica-e-cosmetologia-avancada-pos-graduacao-presencial;0.438;MBA em Gestão de Projetos Ágeis e Inovadores de acordo com a última Edição do PMBOK;878;gestao-de-projetos-ageis-e-inovadores-de-acordo-com-a-ultima-edicao-do-pmbok-mba-ead;0.427;Curso de Curta Duração em  Formação em Consultor Contábil ;829;formacao-em-consultor-contabil-curso-remoto-de-curta-duracao;0.419
produtos\extensao-eficiencia-pratica-juridica-familiar.md;extensao-eficiencia-pratica-juridica-familiar;Curso de Extensão Universitária — Eficiência na Prática Jurídica Familiar: Teoria, Provas e Procedimentos;1338;baixa - buscar manualmente;1338;1338;Dependência Química e Saúde Mental: Avaliação, Prevenção e Tratamento;759;dependencia-quimica-e-saude-mental-avaliacao-prevencao-e-tratamento-pos-graduacao-blended;0.425;Gestão de facilities: manutenção, sustentabilidade, espaços e propriedades;659;gestao-de-facilities-manutencao-sustentabilidade-espacos-e-propriedades-mba-presencial;0.413;Curso de Curta Duração em Práticas De Execução De Instalações Prediais: Hidráulica, Elétrica, Sanitárias, Águas Pluviais e Gás;859;praticas-de-execucao-de-instalaces-prediais-hidraulica-eletrica-sanitarias-aguas-pluviais-e-gas-curso-remoto-de-curta-duracao;0.407
produtos\extensao-excel-master-do-zero-ia.md;extensao-excel-master-do-zero-ia;Curso de Extensão Universitária: Excel Master — Do Zero à IA;1414;baixa - buscar manualmente;1414;1414;Curso de Teste - meramente ilustrativo;123;curso-de-teste;0.449;MBA em Sistemas de Energia Elétrica: Geração, Transporte e Comercialização;1204;mba-em-sistemas-de-energia-eletrica-geracao-transporte-e-comercializacao;0.448;Curso de Curta Duração em LGPD - Privacidade e Proteção de Dados na Prática;1023;lgpd-privacidade-protecao-de-dados-na-pratica-curso-remoto-de-curta-duracao;0.43
produtos\extensao-formacao-analise-comportamental.md;extensao-formacao-analise-comportamental;Curso de Extensão Universitária: Formação de Análise Comportamental;;media - revisar;1082;1082;Formação de Análise Comportamental;1082;formacao-de-analise-comportamental-curso-remoto-de-curta-duracao;0.673;Formação de Análise Comportamental;1082;formacao-de-analise-comportamental-curso-presencial-de-curta-duracao;0.673;Curso de Curta Duração em  Formação em Consultor Contábil ;829;formacao-em-consultor-contabil-curso-remoto-de-curta-duracao;0.548
produtos\extensao-formacao-marketing-digital-ia.md;extensao-formacao-marketing-digital-ia;Curso de Extensão Universitária: Formação em Marketing Digital com Inteligência Artificial;;media - revisar;1410;1410;MBA em Marketing: Estratégia, Digital e Inteligência Artificial;1256;mba-em-marketing-estrategia-digital-e-inteligencia-artificial;0.614;MBA em Direito Digital, Práticas em Proteção de Dados e Inteligência Artificial;1304;mba-em-direito-digital-praticas-em-protecao-de-dados-e-inteligencia-artificial;0.509;Formação em Marketing Digital;339;formacao-em-marketing-digital-curso-presencial-de-curta-duracao;0.487
